id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
1120190,6000.0,5,debt_consolidation,1,50000.0,9.46,685.0,1
54931,9125.0,3,home_improvement,1,100000.0,13.86,705.0,0
45201,11850.0,5,credit_card,0,27000.0,26.89,685.0,1
41457,11875.0,2,other,1,55000.0,17.43,675.0,1
1388829,9450.0,4,credit_card,1,27000.0,29.07,670.0,1
379289,30000.0,3,debt_consolidation,1,92000.0,15.01,675.0,0
976403,12000.0,6,debt_consolidation,1,63000.0,29.24,715.0,1
604354,10000.0,6,credit_card,0,37000.0,17.13,690.0,1
460947,3500.0,5,vacation,1,50000.0,21.88,685.0,1
820345,15000.0,6,debt_consolidation,0,70000.0,6.34,685.0,1
347164,20000.0,5,other,1,81000.0,23.15,675.0,1
1108098,10000.0,6,credit_card,0,57472.0,10.15,670.0,1
485837,17000.0,6,debt_consolidation,1,120000.0,17.49,715.0,1
641955,16000.0,7,debt_consolidation,0,75000.0,9.96,680.0,1
833663,18000.0,2,debt_consolidation,0,67000.0,26.92,680.0,0
693120,35000.0,1,debt_consolidation,1,90000.0,21.97,685.0,1
1411990,3400.0,5,debt_consolidation,1,90000.0,13.56,675.0,1
416548,21975.0,3,debt_consolidation,0,68000.0,23.63,670.0,0
952300,11200.0,5,credit_card,1,60000.0,9.68,675.0,1
133814,10000.0,5,debt_consolidation,1,31000.0,11.65,685.0,0
43524,12000.0,6,debt_consolidation,0,120000.0,17.0,660.0,1
53320,29950.0,3,debt_consolidation,0,140000.0,13.39,670.0,0
255121,10625.0,3,debt_consolidation,1,34560.0,21.7,665.0,1
280803,12000.0,6,debt_consolidation,1,52000.0,23.1,680.0,0
71805,20000.0,6,debt_consolidation,1,64000.0,26.48,690.0,1
911967,13800.0,5,debt_consolidation,1,62796.0,22.07,665.0,1
612155,12600.0,5,other,1,35000.0,28.6,770.0,1
971987,12000.0,5,debt_consolidation,0,38000.0,13.11,675.0,1
867237,35000.0,2,other,0,145000.0,18.38,680.0,1
264190,15000.0,5,debt_consolidation,0,85000.0,14.91,715.0,1
748423,12000.0,4,debt_consolidation,0,74000.0,15.68,670.0,1
255671,4000.0,7,debt_consolidation,1,34600.0,12.97,760.0,1
