,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age,Success,number_degrees
12937,c:239276,biotech,USA,other,727000.0,1,0.0,,1.0,,,,,,False,False,False,6940.0,0,
12938,c:239286,biotech,USA,other,1600000.5,2,0.0,,1.0,,1.0,,,3.0,False,False,False,4018.0,0,
12939,c:239292,consulting,USA,other,9750000.0,1,0.0,,1.0,,,,,2.0,False,False,False,5844.0,0,
12940,c:239302,software,USA,California,,1,1.0,,2.0,,1.0,,,2.0,False,False,False,365.0,0,
12941,c:239311,biotech,USA,other,1778281.5,2,0.0,,1.0,,,,,,False,False,False,1096.0,0,
12942,c:239312,,other,other,,1,0.0,,1.0,,,,,,False,False,False,,0,
12943,c:239319,mobile,USA,other,475000.0,2,0.0,,1.0,,,,,,False,False,False,,0,
12944,c:239321,games_video,USA,California,1125000.0,2,2.0,2.0,1.0,1.0,,,,,False,False,False,640.0,0,
12945,c:239328,network_hosting,USA,California,1600000.0,2,1.0,,1.0,,,,,,False,False,False,1096.0,0,
12946,c:239331,hardware,USA,other,1432173.0,3,0.0,,1.0,,1.0,,,1.0,False,True,False,2095.0,1,
12947,c:239334,ecommerce,other,other,257320.0,1,1.0,,1.0,,,,,,False,False,False,,0,
12948,c:239335,biotech,other,other,187500.0,2,0.0,,1.0,,,,,,False,False,False,512.0,0,
12949,c:23935,mobile,other,other,,1,1.0,1.0,2.0,,,,,,False,False,False,5267.0,0,
12950,c:23937,software,USA,California,1000000.0,1,0.0,4.0,4.0,,,,,3.0,False,False,False,3775.0,0,
12951,c:239377,photo_video,other,other,150000.0,1,0.0,,2.0,,,,,,False,False,False,610.0,0,
12952,c:239383,mobile,other,other,161671.0,1,1.0,,1.0,,,,1.0,4.0,False,False,False,731.0,0,
12953,c:239387,mobile,other,other,161671.0,1,1.0,,1.0,,,,,,False,False,False,,0,
12954,c:239388,analytics,other,other,118717.0,2,1.0,1.0,1.0,,,1.0,1.0,1.0,False,False,False,334.0,0,
12955,c:239389,mobile,other,other,161671.0,2,0.5,,1.0,,,,,2.0,False,False,False,731.0,0,
12956,c:23939,advertising,USA,other,,1,2.0,,3.0,,,,,,False,False,False,2832.0,0,
12957,c:239391,ecommerce,other,other,80836.0,1,1.0,2.0,2.0,,,,,,False,False,False,307.0,0,
