,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
11101,c:22452,web,USA,other,445000.0,2,0.0,,1.0,,,,,1.0,False,False,True,2255.0
11109,c:22462,web,USA,California,1612500.0,3,0.6667,,1.0,,1.0,,1.0,4.0,False,False,False,2192.0
11117,c:224703,ecommerce,USA,other,750000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11120,c:224769,finance,USA,other,15000000.0,2,1.5,,1.0,,,,,2.0,False,False,False,1461.0
11121,c:224774,biotech,USA,other,800000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11122,c:224781,analytics,USA,other,992250.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11126,c:22480,software,other,other,1200000.0,1,3.0,,1.0,,,,,,False,False,False,2192.0
11130,c:22485,analytics,USA,California,2625000.0,2,4.0,3.0,1.0,,1.0,,,5.0,False,False,False,1790.0
11134,c:224864,hardware,USA,other,10451365.0,1,0.0,,1.0,,1.0,,,1.0,False,False,False,2192.0
11140,c:224905,cleantech,other,other,151525.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11141,c:224908,education,USA,other,1000000.0,1,4.0,,1.0,,,,,,False,False,False,1461.0
11145,c:22505,web,USA,other,58800000.0,1,0.0,,2.0,,1.0,,,2.0,False,True,False,2377.0
11150,c:225099,biotech,USA,other,1324701.0,2,0.0,,1.0,,,,,,False,False,False,1096.0
11154,c:225108,biotech,USA,California,750000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11155,c:225109,medical,USA,other,552300.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11156,c:225111,biotech,USA,other,300306.5,2,0.0,,1.0,,,,,,False,False,False,1826.0
11157,c:225114,biotech,USA,California,235000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11158,c:225118,biotech,USA,other,3275000.0,2,0.0,,1.0,,,,,,False,False,False,1461.0
11164,c:225154,analytics,USA,other,600000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11165,c:225159,semiconductor,USA,other,555750.0,3,0.0,,1.0,,,,,,False,False,False,2192.0
11167,c:225163,cleantech,USA,other,2700000.0,1,1.0,,1.0,,,,,,False,False,False,1826.0
11169,c:225181,medical,USA,other,4456263.0,2,0.0,,1.0,,1.0,,,1.0,False,False,False,2192.0
11171,c:225183,ecommerce,other,other,6200000.0,1,1.0,,1.0,,,,,,False,False,False,1167.0
11173,c:225202,biotech,USA,other,2041280.0,6,0.0,,1.0,,,,,,False,False,False,1461.0
11178,c:225235,mobile,USA,other,847550.0,2,0.0,,1.0,,,,,,False,False,False,1826.0
11179,c:225241,enterprise,USA,California,877499.0,2,1.0,,1.0,,,,,,False,False,False,1096.0
11181,c:225251,biotech,USA,California,375000.0,2,0.0,,1.0,,,,,,False,False,False,1096.0
11190,c:225352,,other,other,23000000.0,1,4.0,,,,1.0,,1.0,2.0,False,False,False,1127.0
11196,c:225405,health,USA,other,480000.0,2,1.5,,1.0,,,,,,False,False,False,1310.0
11197,c:225410,design,other,other,1818302.0,1,3.0,,1.0,,,,,,False,False,False,1096.0
11213,c:225696,biotech,USA,other,4781309.0,2,0.0,,1.0,,,,,1.0,False,False,False,1096.0
11221,c:22572,cleantech,USA,other,73500000.0,4,1.5,,1.0,,12.0,3.0,6.0,17.0,False,False,False,2253.0
11224,c:225732,transportation,USA,other,500000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11227,c:225751,real_estate,USA,other,605000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11235,c:225781,enterprise,USA,California,893750.0,2,2.0,,1.0,,1.0,,,1.0,False,False,False,1096.0
11238,c:225798,software,USA,other,510000.0,2,1.0,,1.0,,,,,,False,False,False,1096.0
11240,c:225808,biotech,other,other,10500000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11241,c:22582,web,USA,other,800000.0,1,0.0,3.0,1.0,,,,,,False,False,False,2480.0
11243,c:225829,software,USA,other,732884.25,4,0.0,,1.0,,,,1.0,1.0,False,False,False,1826.0
11248,c:225861,enterprise,USA,other,3043300.0,5,0.0,,1.0,,,,,,False,False,False,1461.0
11251,c:225901,design,other,other,301897.6667,3,1.3333,,1.0,,,,1.0,1.0,False,False,False,1461.0
11256,c:225943,advertising,USA,other,3000000.0,1,1.0,,2.0,,,,,1.0,False,False,False,1826.0
11262,c:22601,mobile,USA,California,11581250.0,4,2.5,,1.0,1.0,1.0,,,4.0,False,False,False,2223.0
11263,c:226035,mobile,USA,other,1500000.0,1,2.0,,1.0,,,,,,False,False,False,2192.0
11266,c:22617,enterprise,USA,other,500000.0,1,0.0,3.0,2.0,,2.0,,2.0,1.0,False,False,False,1889.0
11268,c:226243,software,USA,other,1499998.0,1,0.0,,1.0,,,,,3.0,False,False,False,1096.0
11279,c:22649,medical,USA,California,1375000.0,6,2.0,,1.0,,,,1.0,12.0,False,False,False,1826.0
11281,c:22653,search,other,other,382500.0,2,3.0,1.0,,,,,,1.0,False,True,False,1114.0
11286,c:226621,web,other,other,,1,1.0,,,,,,,,False,False,False,1461.0
11290,c:226759,health,other,other,643300.0,1,1.0,,1.0,,,,,,False,False,False,1096.0
11291,c:226776,biotech,other,other,514640.0,1,1.0,,1.0,,,,,,False,False,False,1826.0
11292,c:226777,other,other,other,,1,1.0,,1.0,,,,,,False,False,False,1096.0
11298,c:226902,analytics,other,other,48318.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11303,c:226928,software,USA,other,570568.0,1,0.0,,1.0,,,,,1.0,False,False,False,1461.0
11304,c:226942,biotech,other,other,,1,0.0,,1.0,,,1.0,,1.0,False,False,False,1096.0
11308,c:226999,medical,other,other,250001.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11309,c:227007,advertising,other,other,5500000.0,1,3.0,,1.0,,,,,,False,False,False,2192.0
11310,c:22701,advertising,USA,other,9666666.6667,3,1.6667,,1.0,,2.0,,,12.0,False,False,False,2192.0
11312,c:22702,other,USA,California,250000.0,1,0.0,,1.0,,,,,,False,False,False,2160.0
11313,c:227025,software,other,other,,1,1.0,,1.0,,,,,,False,False,False,1461.0
11317,c:227033,advertising,other,other,2000000.0,1,7.0,,1.0,,,,,,False,False,False,1583.0
11320,c:227049,mobile,USA,other,200000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11324,c:22707,other,USA,other,,1,0.0,1.0,1.0,,,,,,False,False,False,2345.0
11325,c:227074,software,USA,other,475000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11334,c:22716,games_video,other,other,20000000.0,2,1.5,,1.0,,,,,,False,False,False,2498.0
11351,c:227340,web,USA,other,600000.0,1,2.0,,1.0,,1.0,,1.0,3.0,False,False,False,2192.0
11366,c:227637,social,USA,other,3600000.0,1,1.0,,1.0,,,,,,False,False,False,1096.0
11367,c:227662,mobile,USA,other,500000.0,1,0.0,,1.0,,,,,1.0,False,False,False,1826.0
11371,c:227674,health,USA,other,990000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11372,c:227676,biotech,USA,other,2227004.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11378,c:227716,biotech,USA,California,300000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11379,c:227717,biotech,USA,other,451750.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11391,c:227802,biotech,USA,other,860000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11393,c:227825,health,USA,other,270000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11394,c:227828,software,USA,other,1000000.0,1,0.0,,1.0,,2.0,1.0,,2.0,False,False,False,1096.0
11395,c:227834,mobile,USA,other,716407.5,2,0.0,,1.0,,,,,,False,False,False,1096.0
11397,c:227837,enterprise,USA,other,50000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11398,c:22784,mobile,USA,California,68100000.0,5,5.6,1.0,3.0,4.0,10.0,2.0,1.0,40.0,False,False,False,1795.0
11399,c:227845,social,USA,other,487500.0,2,0.0,,1.0,,,,,,False,False,True,1096.0
11405,c:227880,biotech,USA,California,6500002.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11413,c:227955,web,USA,California,4400000.0,1,5.0,,1.0,,,,,,False,False,False,1096.0
11423,c:22806,software,USA,California,150000.0,1,0.0,8.0,1.0,,,,,1.0,False,False,False,1744.0
11425,c:228110,health,USA,other,750000.0,1,1.0,,1.0,,,,,,False,False,False,1461.0
11433,c:228235,biotech,USA,California,3600000.0,1,0.0,,1.0,,,,,3.0,False,False,False,1096.0
11438,c:228252,biotech,USA,other,1600000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11439,c:228255,travel,other,other,3216500.0,1,2.0,,1.0,,1.0,,1.0,1.0,False,False,False,2161.0
11440,c:228257,biotech,USA,other,3140300.0,2,0.0,,1.0,,,,,,False,False,False,2192.0
11441,c:228264,software,USA,other,1349142.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11445,c:228281,biotech,USA,other,1731875.0,4,0.0,,1.0,,,,,,False,False,False,1461.0
11447,c:228300,enterprise,USA,other,275011.25,4,0.0,,1.0,,,,,,False,False,False,2192.0
11452,c:228313,software,USA,other,1060000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11454,c:228317,software,USA,California,125000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11461,c:228332,mobile,other,other,,1,0.0,,2.0,,,,,2.0,False,False,False,1247.0
11463,c:228336,consulting,USA,other,2000000.0,1,0.0,,1.0,,1.0,,,1.0,False,False,False,1461.0
11466,c:228350,biotech,USA,other,2106325.3333,3,0.0,,1.0,,,,,,False,False,False,1461.0
11469,c:228369,software,USA,other,176615.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11475,c:2284,web,USA,other,,1,1.0,,1.0,,,,1.0,2.0,False,False,True,2192.0
11478,c:228417,cleantech,USA,other,550000.0,1,1.0,,1.0,,,,,,False,False,False,1157.0
11479,c:22842,other,USA,other,1015000.0,1,0.0,1.0,1.0,,,,,,False,False,False,2071.0
11488,c:22856,ecommerce,USA,California,607640.6667,3,2.3333,,1.0,,,1.0,2.0,8.0,False,True,False,1552.0
11489,c:22856,ecommerce,USA,California,607640.6667,3,2.3333,,1.0,,,1.0,2.0,8.0,False,True,False,1734.0
11494,c:228574,network_hosting,USA,other,8658500.0,2,4.0,,1.0,,1.0,,,2.0,False,False,False,1461.0
11502,c:228644,games_video,other,other,,1,1.0,,1.0,,,,,,False,False,False,2192.0
11509,c:228684,biotech,USA,other,2100000.0,2,0.0,,1.0,,,1.0,,1.0,False,False,False,1096.0
11511,c:228686,,other,other,392160.0,1,0.0,,1.0,,,,2.0,,False,False,False,1096.0
11520,c:228717,biotech,other,other,625000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11533,c:228813,medical,USA,other,2446187.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11534,c:228816,medical,USA,other,1996510.5,2,0.0,,1.0,,,,,,False,False,False,1461.0
11535,c:228820,enterprise,USA,other,1026566.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11546,c:228989,software,other,other,225000.0,1,0.0,,,,,,,1.0,False,False,False,1096.0
11548,c:229,ecommerce,other,other,5000000.0,2,2.5,6.0,1.0,2.0,5.0,,2.0,13.0,False,True,False,2292.0
11549,c:229002,search,other,other,20000000.0,1,2.0,,1.0,,,,,,False,False,False,1461.0
11550,c:229013,ecommerce,other,other,227288.0,1,1.0,,1.0,,,,,,False,False,False,1096.0
11551,c:22903,software,other,other,320000.0,1,0.0,1.0,1.0,,,,,,False,False,True,2375.0
11552,c:229061,mobile,other,other,1700000.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11557,c:229225,software,USA,California,137500.0,4,0.0,,1.0,,,,,,False,False,False,1826.0
11560,c:229245,education,USA,other,690511.0,2,1.0,,1.0,,,,,2.0,False,False,False,1096.0
11565,c:229271,automotive,USA,California,584812.5,2,0.0,,1.0,,,,,,False,False,False,2192.0
11566,c:229285,ecommerce,other,other,,1,1.0,,1.0,,,,,,False,False,False,1461.0
11568,c:229287,education,USA,other,1141076.4,5,0.0,,1.0,,,,,,False,False,False,1211.0
11574,c:229318,medical,USA,other,25000.0,1,0.0,,1.0,,,,,2.0,False,False,False,1826.0
11577,c:22933,news,USA,other,155000.0,2,1.5,2.0,1.0,,,,,2.0,False,False,False,1841.0
11578,c:229330,biotech,USA,other,750000.0,1,2.0,,1.0,,,,,,False,False,False,1461.0
11583,c:229343,messaging,other,other,,1,1.0,,1.0,,,,,,False,False,False,1461.0
11588,c:22935,enterprise,USA,other,16000000.0,1,4.0,,1.0,2.0,,,,,False,False,False,2504.0
11589,c:229356,travel,other,other,250000.0,1,1.0,,2.0,,,,,,False,False,False,1826.0
11592,c:229366,finance,USA,other,371750.0,2,0.0,,1.0,,,,,,False,False,False,1461.0
11595,c:22938,web,USA,other,300000.0,1,0.0,,1.0,,,,,,False,False,True,1869.0
